ID	ACCESSION-2	Start	End	strand	Chromosome
NCU01334	NCU01334.7	3690220	3692089	-	supercont10.5 of Neurospora crassa (OR74A)
NCU04748	NCU04748.7	661121	662921	-	supercont10.6 of Neurospora crassa (OR74A)
NCU05571	NCU05571.7	1474122	1475216	-	supercont10.6 of Neurospora crassa (OR74A)
NCU00412	NCU00412.7	3765321	3767565	-	supercont10.3 of Neurospora crassa (OR74A)
NCU05586	NCU05586.7	1419925	1421145	-	supercont10.6 of Neurospora crassa (OR74A)
NCU06168	NCU06168.7	2674849	2676740	+	supercont10.7 of Neurospora crassa (OR74A)
NCU02209	NCU02209.7	928812	931313	+	supercont10.7 of Neurospora crassa (OR74A)
NCU06590	NCU06590.7	1733952	1735169	-	supercont10.4 of Neurospora crassa (OR74A)
NCU09838	NCU09838.7	575221	576513	+	supercont10.5 of Neurospora crassa (OR74A)
NCU03601	NCU03601.7	1805888	1807991	-	supercont10.5 of Neurospora crassa (OR74A)
NCU00047	NCU00047.7	2402848	2403756	+	supercont10.3 of Neurospora crassa (OR74A)
NCU11838	NCU16667.7	3036479	3039964	-	supercont10.3 of Neurospora crassa (OR74A)
NCU02920	NCU02920.7	8687961	8689014	-	supercont10.1 of Neurospora crassa (OR74A)
NCU04354	NCU04354.7	3661505	3663969	-	supercont10.4 of Neurospora crassa (OR74A)
NCU06455	NCU06455.7	1465956	1467124	-	supercont10.3 of Neurospora crassa (OR74A)
NCU02930	NCU02930.7	8656525	8657923	+	supercont10.1 of Neurospora crassa (OR74A)
NCU05639	NCU05639.7	1237277	1238587	+	supercont10.6 of Neurospora crassa (OR74A)
NCU01179	NCU01179.7	3147300	3149624	+	supercont10.5 of Neurospora crassa (OR74A)
NCU02595	NCU02595.7	2854746	2855827	-	supercont10.1 of Neurospora crassa (OR74A)
NCU02879	NCU02879.7	8826363	8828084	+	supercont10.1 of Neurospora crassa (OR74A)
NCU12098	NCU05561.7	508922	509916	-	supercont10.6 of Neurospora crassa (OR74A)
NCU07343	NCU07343.7	4302367	4303923	+	supercont10.4 of Neurospora crassa (OR74A)
NCU01949	NCU01949.7	1897005	1898246	-	supercont10.1 of Neurospora crassa (OR74A)
NCU01837	NCU01837.7	2213888	2214382	+	supercont10.2 of Neurospora crassa (OR74A)
NCU00553	NCU00553.7	8026473	8029657	+	supercont10.1 of Neurospora crassa (OR74A)
NCU04593	NCU04593.7	1578712	1580450	+	supercont10.5 of Neurospora crassa (OR74A)
NCU10760	NCU10760.7	3576473	3578439	+	supercont10.4 of Neurospora crassa (OR74A)
NCU07460	NCU07460.7	553310	555194	+	supercont10.1 of Neurospora crassa (OR74A)
NCU07273	NCU07273.7	4562387	4563292	+	supercont10.4 of Neurospora crassa (OR74A)
NCU02599	NCU02599.7	2864433	2865960	+	supercont10.1 of Neurospora crassa (OR74A)
NCU05171	NCU05171.7	5887564	5888184	+	supercont10.4 of Neurospora crassa (OR74A)
NCU11954	NCU08414.7	2433932	2439266	+	supercont10.2 of Neurospora crassa (OR74A)
NCU08229	NCU08229.7	4706691	4708760	+	supercont10.3 of Neurospora crassa (OR74A)
